Name,Jutsu,Appears In,Sex,Classification,Clan,Tools,Occupation,Team,Affiliation,Nature Type,Images
Doto Akimichi,Calorie Control,Anime;Manga;Game,Male,,Akimichi,Bo,,,Konohagakure,Yang Release,https://static.wikia.nocookie.net/naruto/images/0/07/D%C5%8Dt%C5%8D_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20220219091130
Makaro Akimichi,Calorie Control,Anime;Manga,Male,,Akimichi,,,,Konohagakure,Yang Release,https://static.wikia.nocookie.net/naruto/images/4/4f/Makaro_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20141107143226
Maruten Akimichi,Calorie Control,Anime;Manga,Male,,Akimichi,Bo,,,Konohagakure,Yang Release,https://static.wikia.nocookie.net/naruto/images/5/5a/Maruten_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20220211075943
Shito Akimichi,Calorie Control;Multi-Size Technique;Partial Multi-Size Technique,Anime;Manga,Male,,Akimichi,Bo,,,Konohagakure,Yang Release,https://static.wikia.nocookie.net/naruto/images/0/04/Shit%C5%8D_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20160217120955
Torifu Akimichi,Calorie Control,Anime;Manga,Male,,Akimichi,Bo ,,Escort Unit,Konohagakure,Yang Release,https://static.wikia.nocookie.net/naruto/images/0/0a/Torifu_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20160122152536
Akino,,Anime;Manga;Novel;Game;Movie,Male,Summon,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/7/7b/Akino2.png/revision/latest/scale-to-width-down/300?cb=20150216130950
Akio,,Anime,Male,,,Spear,,,Land of Forests,,https://static.wikia.nocookie.net/naruto/images/7/7d/Akio.png/revision/latest/scale-to-width-down/300?cb=20150626194947
Kankitsu Akitsuki,,Anime,Male,,,,,,Daidai Village,,https://static.wikia.nocookie.net/naruto/images/6/6b/Kankitsu.png/revision/latest/scale-to-width-down/300?cb=20190812124944
Akkun,,Anime,,,,,,Fabrications,Iwagakure,,https://static.wikia.nocookie.net/naruto/images/5/5a/Akkun.png/revision/latest/scale-to-width-down/300?cb=20181203050858
Lars Alexandersson,,Game,Male,,,,,,,Lightning Release,https://static.wikia.nocookie.net/naruto/images/1/18/UNS2_Lars_full.png/revision/latest/scale-to-width-down/300?cb=20160303065700
Mikazuki Amaashi,,,Female,,,,Project Developer,,Konohagakure,,
Samidare Amaashi,,Anime,Male,,,,,,,Water Release,https://static.wikia.nocookie.net/naruto/images/8/8d/Samidare2.png/revision/latest/scale-to-width-down/300?cb=20200714004331
Amachi,Kaima Form;Scale Senbon;Summoning Technique (Umibozu);Water Release: Large Projectile,Anime,Male,Medical-nin,,Scalpel,Scientist,,Land of the Sea,Water Release,https://static.wikia.nocookie.net/naruto/images/4/44/Amachi.png/revision/latest/scale-to-width-down/300?cb=20150528184924
Amagi,Manipulating Attack Blades,,Male,,,Katar,,Counter-Terrorism Division,Sunagakure,,
Gensui Amagiri,Chakra Levitation Technique;Tailed Beast Replication;Telescope Technique,Game,Male,,Amagiri,Chakra Enhanced Triple-Bladed Claw,,,Yumegakure,,https://static.wikia.nocookie.net/naruto/images/c/c1/Gensui_Amagiri.jpg/revision/latest?cb=20110527130053
Taisa Amagiri,Lightning Tackle;Poison Mist;Taisa's Transformation Technique,Game,Male,,Amagiri,Poison,,,Yumegakure,Lightning Release,https://static.wikia.nocookie.net/naruto/images/d/de/Taisa_Amagiri.png/revision/latest?cb=20120228151033
Amai,Mystical Palm Technique,Anime,Male,Medical-nin,,,,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/7/7a/Amai2.png/revision/latest/scale-to-width-down/300?cb=20160226232522
Amaru,,Movie,Female,,,Scalpel,Apprentice Doctor,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/3/3c/Amaru.PNG/revision/latest/scale-to-width-down/300?cb=20090426180016
Amayo,,Novel;Movie,Female,,,,,,,,https://static.wikia.nocookie.net/naruto/images/e/e8/Amayo.PNG/revision/latest/scale-to-width-down/300?cb=20160123101640
Ameno,Medical Water Release: Jellyfish;Medical Water Release: Water Mosquito;Medical Water Release: Water Scorpion;Mystical Palm Technique,Anime,Female,Medical-nin,,Scalpel,,Team Ameno,Sunagakure,Water Release,https://static.wikia.nocookie.net/naruto/images/1/18/Ameno_Infobox.png/revision/latest/scale-to-width-down/300?cb=20150409123226
Ameyuki,Mud Release: Bottomless Mud Hole;Mud Release: Landslide;Mud Release: Mud Doll;Mud Release: Muddy Water Wall,,Male,,,,,,Shangri-la,Mud Release,
Ami,,Anime;Manga,Female,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/d/dd/Ami.png/revision/latest/scale-to-width-down/300?cb=20141014122736
Amino,,Anime;Novel,Female,,,,,,Bamboo Village,,https://static.wikia.nocookie.net/naruto/images/0/04/Amino.png/revision/latest/scale-to-width-down/300?cb=20161201115338
Sosha Amino,,Anime,Female,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/0/0b/Sosha_Amino.png/revision/latest/scale-to-width-down/300?cb=20220905113645
Amuda,,,Male,,,,,Lightning Group,Kirigakure,,
Anaguma,Water Release: Water Snake Threads,Anime,Male,,,,,,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/0/02/Anaguma.png/revision/latest/scale-to-width-down/300?cb=20221120172845
Anato,,Anime,Male,,,,Researcher,,Land of Valleys,,https://static.wikia.nocookie.net/naruto/images/5/5b/Anato.png/revision/latest/scale-to-width-down/300?cb=20200821085858
Anbu Commander,,,Male,,,Sword,Head Anbu,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/9/9d/Anbu_Commander.png/revision/latest/scale-to-width-down/300?cb=20111029000018
Bird-Masked Anbu Member,Wind Release: Wind Cutter Technique,,Male,,,Sword,Anbu Captain,,Konohagakure,Wind Release,https://static.wikia.nocookie.net/naruto/images/f/f6/Brid-Masked_ANBU_Captain.png/revision/latest/scale-to-width-down/300?cb=20160122155506
Boar-Masked Anbu Member,Earth Release: Dropping Lid;Earth Release: Hiding in Rock Technique ;Earth Release: Sticky Earth Drop ;Shadow Clone Technique ;Temporary Paralysis Technique,,Male,,,Sword,Anbu Captain,,Konohagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/f/f7/Boar-Masked_Anbu_Member.png/revision/latest/scale-to-width-down/300?cb=20160122154940
Eagle-Masked Anbu Member,Hiding in Surface Technique ;Temporary Paralysis Technique;Water Clone Technique ,,Male,,,Sword,,,Konohagakure,Water Release  ,https://static.wikia.nocookie.net/naruto/images/7/7d/Eagle-Masked_Anbu.png/revision/latest/scale-to-width-down/300?cb=20150306154138
Fox-Masked Anbu Member,,,Male,,,Sword,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/e/e2/Fox-Masked_Anbu_Member.png/revision/latest/scale-to-width-down/300?cb=20150303183308
Tiger-Masked Anbu Member,,,Male,,,Sword,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/16/Tiger-Masked_Anbu_Member.png/revision/latest/scale-to-width-down/300?cb=20150312121725
Aniki,,Anime;Game,Male,,,Poison,,Moya Triad,,,https://static.wikia.nocookie.net/naruto/images/d/dd/Aniki.png/revision/latest/scale-to-width-down/300?cb=20150302130255
Aniki (missing-nin),Fire Release: Fire Dragon Wall;Fire Release: Great Fireball Technique;Fire Release: Phoenix Sage Fire Technique,Anime,Male,Missing-nin,,,,,,Fire Release,https://static.wikia.nocookie.net/naruto/images/d/d9/Aniki_Boruto.png/revision/latest/scale-to-width-down/300?cb=20220911210215
First Animal Path (character),,Anime;Manga;Game,Male,,Fuma,Fuma Shuriken,,,,,https://static.wikia.nocookie.net/naruto/images/c/cd/Animal_Path.png/revision/latest/scale-to-width-down/300?cb=20160113164348
Ankorodo Shop Owner,Ankorodo Hiden Ninjutsu: Mochi Release: Infinite Dumplings,,Female,,,,Shop owner,,Konohagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/2/29/Ankorodo_Shop_Owner.png/revision/latest/scale-to-width-down/300?cb=20210222115835
Ao,Barrier Talisman: Armoured Eye;Sensing Technique;Sensing Water Sphere;Water Release: Water Colliding Wave,Anime;Manga;Novel;Game,Male,Sensor Type,,Chakra Blade,Fifth Mizukage's Bodyguard,Sensor Division,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/7/72/Ao.png/revision/latest/scale-to-width-down/300?cb=20171014133718
Aoda,,Anime;Manga;Novel;Game,Male,Summon,,,,,Ryuchi Cave,,https://static.wikia.nocookie.net/naruto/images/9/99/Aoda.png/revision/latest/scale-to-width-down/300?cb=20181007122603
Aoi (game),,Game,Female,,,,,,Tree Felling Village,,https://static.wikia.nocookie.net/naruto/images/e/e4/Aoi.png/revision/latest/scale-to-width-down/300?cb=20120705061722
Aoneko,,Game,Male,,,,Cat Quiz Proprietor,,Konohagakure,Water Release,https://static.wikia.nocookie.net/naruto/images/d/d3/Aoneko.png/revision/latest/scale-to-width-down/300?cb=20181024150129
Aosa,,Anime,Male,Medical-nin,,,,,Land of Calm Seas,,https://static.wikia.nocookie.net/naruto/images/2/2f/Aosa.png/revision/latest/scale-to-width-down/300?cb=20220311130842
Arai,,Anime,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/6/6e/Arai.png/revision/latest/scale-to-width-down/300?cb=20200208175649
Mokume Arai,,,Male,,,,Construction worker,,Konohagakure,,
Arashi,Casualty Puppet;Curse Mandala,Anime,Male,,Fuma (Land of Sound),,,,Otogakure,,https://static.wikia.nocookie.net/naruto/images/f/fd/Arashi.png/revision/latest/scale-to-width-down/300?cb=20150601180429
Araya,Puppet Technique ,Anime;Manga;Novel;Movie,Male,,,Sanshouo ,,Team Shinki,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/1/1e/Araya.png/revision/latest/scale-to-width-down/300?cb=20180517132525
Armadiko,,Anime;Manga,Male,,,,,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/3/30/Armadiko.png/revision/latest/scale-to-width-down/300?cb=20120315174258
Asaka,Haze Ninja Art: Forbidden Technique: Red Spider Lily;Water Clone Technique,Anime,Male,,,Poison,,Haze Quadruplets,Land of Haze,Water Release,https://static.wikia.nocookie.net/naruto/images/3/3d/Asaka.png/revision/latest/scale-to-width-down/300?cb=20200831121625
Asaki,,Anime,Female,,Yoimura,,Remon's attendant,,Daidai Village,,https://static.wikia.nocookie.net/naruto/images/3/38/Asaki_Infobox.png/revision/latest/scale-to-width-down/300?cb=20210726132217
Neon Asakusa,,Anime,Female,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/d/d7/Neon_Asakusa.png/revision/latest/scale-to-width-down/300?cb=20220911211105
Neon's Mother,,,Female,,,,Kaminarimon Company executive,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/4/44/Neon%27s_mother.png/revision/latest/scale-to-width-down/300?cb=20220913003715
Sandayu Asama,,Novel;Movie,Male,,,,Koyuki Kazahana's personal assistant,,Land of Snow,,https://static.wikia.nocookie.net/naruto/images/9/9c/Sandayu_Asama.png/revision/latest/scale-to-width-down/300?cb=20160116175615
Asami,,,Female,,,,,,,,
Ashimaru,,Anime,Male,Missing-nin,,Sword,,,,,https://static.wikia.nocookie.net/naruto/images/9/92/Ashimaru.png/revision/latest/scale-to-width-down/300?cb=20180117103233
Ashina,,Anime,Female,,,,Actress,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/d/d0/Ashina.png/revision/latest/scale-to-width-down/300?cb=20180816092439
Ashitaba,,Anime,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/7/76/Ashitaba.png/revision/latest/scale-to-width-down/300?cb=20151203070352
Asura Path (character),,Anime;Manga;Game,Male,,,,Mercenary,,,,https://static.wikia.nocookie.net/naruto/images/c/c5/Asura_Path.png/revision/latest/scale-to-width-down/300?cb=20160116083142
Atsui,Cloud-Style Flame Beheading,Anime;Manga;Game,Male,,,Sword,,First Division,Kumogakure,Fire Release,https://static.wikia.nocookie.net/naruto/images/0/0f/Atsui.png/revision/latest/scale-to-width-down/300?cb=20220224085250
Ayame,,Anime;Manga;Novel;Game;Movie,Female,,,,Waitress,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/4/4f/Ayame.png/revision/latest/scale-to-width-down/300?cb=20160115175059
Azami,,Anime,Female,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/35/Azami.png/revision/latest/scale-to-width-down/300?cb=20160122161257
Shibito Azuma,,Anime;Manga,Male,,,,,,Iwagakure,,https://static.wikia.nocookie.net/naruto/images/0/02/Shibito_Azuma.png/revision/latest/scale-to-width-down/300?cb=20140322220000
Azure Fang,"Chakra Scalpel;Healing Resuscitation Regeneration Technique;Mystical Palm Technique;Poison Mist;Summoning Technique (Ninken, Toad);Water Clone Technique;Water Release: Great Shark Bullet Technique;Water Release: Great Water Arm Technique;Water Release: Running Water Whip;Water Release: Water Dragon Bullet Technique;Water Release: Water Shark Bullet Technique;Water Release: Water Trumpet",Game,Female,Medical-nin,,Poison,,,Konohagakure,Water Release,https://static.wikia.nocookie.net/naruto/images/9/98/Azure_Fang.png/revision/latest?cb=20180828061656
Baiu,,Anime;Manga;Game,Male,,,Umbrella,,Team Shigure,Amegakure,,https://static.wikia.nocookie.net/naruto/images/c/c8/Baiu.PNG/revision/latest/scale-to-width-down/300?cb=20150202180027
Baji,Heavenly Punishment;Secret Technique: Mouth Seal Technique,Anime,Male,,,,Bandit leader,,,,https://static.wikia.nocookie.net/naruto/images/5/50/Baji.png/revision/latest/scale-to-width-down/300?cb=20160122173247
Baki,,Anime;Manga;Novel;Game;Movie,Male,,,,Senior,Three Sand Siblings,Sunagakure,Wind Release,https://static.wikia.nocookie.net/naruto/images/0/04/Baki_Infobox.png/revision/latest/scale-to-width-down/300?cb=20160122172410
Baku,,Anime;Manga;Game,,Summon,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/7/77/Baku_Anime.png/revision/latest/scale-to-width-down/300?cb=20151004004931
Baku (Anbu),,Anime;Manga,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/4/4e/Baku_ANBU.png/revision/latest/scale-to-width-down/300?cb=20160122162510
Bakuto,,Anime;Manga,Male,,,,Prisoner,,,,https://static.wikia.nocookie.net/naruto/images/2/2c/Bakuto.png/revision/latest/scale-to-width-down/300?cb=20160122172825
Bamboo Minister,,Anime,Male,,,,Minister,,Land of Bamboo,,https://static.wikia.nocookie.net/naruto/images/3/35/Bamboo_Minister.png/revision/latest/scale-to-width-down/300?cb=20221123162622
Bando,,Game,Male,,,,Weapons Dealer,,,,https://static.wikia.nocookie.net/naruto/images/b/bc/Bando.jpg/revision/latest?cb=20081208022805
Bando,Wind Release: Breakthrough;Wind Release: Great Breakthrough,Anime,Male,,,,,Team Bando,Benisu Island,Wind Release,https://static.wikia.nocookie.net/naruto/images/0/02/Band%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20211122215901
Banna,,Anime,Male,,,Club,,,Land of Water,,https://static.wikia.nocookie.net/naruto/images/8/83/Banna.png/revision/latest/scale-to-width-down/300?cb=20160122173203
Bansai,,Anime;Manga,Male,Ninja monk,,,Head Monk,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/b/b8/Bansai.png/revision/latest/scale-to-width-down/300?cb=20211010013416
Batta,Area Scanning Technique;Wind Release: Flying Locust Wind,Anime,Female,,,,,,Kumogakure,Wind Release,https://static.wikia.nocookie.net/naruto/images/8/8b/Batta.png/revision/latest/scale-to-width-down/300?cb=20221121015117
Beekeeper,Bee Honey Technique,,,Missing-nin,Kamizuru,,Beekeeper,,Iwagakure,,https://static.wikia.nocookie.net/naruto/images/2/21/Beekeeper.png/revision/latest/scale-to-width-down/300?cb=20170309115400
Bekko,,Anime;Manga;Novel;Game,Male,,,,Academy Teacher  ,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/f/f6/Bekko.png/revision/latest/scale-to-width-down/300?cb=20150207163326
Benga,Fire Release: Flame Bullet;Fire Release: Flame Capture;Fire Release: Heavenly Prison;Summoning Technique (Hozuki Castle's Ninken),Anime,Male,,,,Hozuki Castle officer,,Kusagakure,Fire Release,https://static.wikia.nocookie.net/naruto/images/f/f1/Benga.png/revision/latest/scale-to-width-down/300?cb=20200209125836
